schedule_id,loan_id,installment_no,error
LEGACY_TTMPCL-001_01,TTMPCL-001,1,"{'message': 'there is no unique or exclusion constraint matching the ON CONFLICT specification', 'code': '42P10', 'hint': None, 'details': None}"
LEGACY_TTMPCL-001_02,TTMPCL-001,2,"{'message': 'there is no unique or exclusion constraint matching the ON CONFLICT specification', 'code': '42P10', 'hint': None, 'details': None}"
LEGACY_TTMPCL-001_03,TTMPCL-001,3,"{'message': 'there is no unique or exclusion constraint matching the ON CONFLICT specification', 'code': '42P10', 'hint': None, 'details': None}"
LEGACY_TTMPCL-001_04,TTMPCL-001,4,"{'message': 'there is no unique or exclusion constraint matching the ON CONFLICT specification', 'code': '42P10', 'hint': None, 'details': None}"
LEGACY_TTMPCL-001_05,TTMPCL-001,5,"{'message': 'there is no unique or exclusion constraint matching the ON CONFLICT specification', 'code': '42P10', 'hint': None, 'details': None}"
LEGACY_TTMPCL-001_06,TTMPCL-001,6,"{'message': 'there is no unique or exclusion constraint matching the ON CONFLICT specification', 'code': '42P10', 'hint': None, 'details': None}"
LEGACY_TTMPCL-001_07,TTMPCL-001,7,"{'message': 'there is no unique or exclusion constraint matching the ON CONFLICT specification', 'code': '42P10', 'hint': None, 'details': None}"
LEGACY_TTMPCL-001_08,TTMPCL-001,8,"{'message': 'there is no unique or exclusion constraint matching the ON CONFLICT specification', 'code': '42P10', 'hint': None, 'details': None}"
LEGACY_TTMPCL-001_09,TTMPCL-001,9,"{'message': 'there is no unique or exclusion constraint matching the ON CONFLICT specification', 'code': '42P10', 'hint': None, 'details': None}"
LEGACY_TTMPCL-001_10,TTMPCL-001,10,"{'message': 'there is no unique or exclusion constraint matching the ON CONFLICT specification', 'code': '42P10', 'hint': None, 'details': None}"
LEGACY_TTMPCL-001_11,TTMPCL-001,11,"{'message': 'there is no unique or exclusion constraint matching the ON CONFLICT specification', 'code': '42P10', 'hint': None, 'details': None}"
LEGACY_TTMPCL-001_12,TTMPCL-001,12,"{'message': 'there is no unique or exclusion constraint matching the ON CONFLICT specification', 'code': '42P10', 'hint': None, 'details': None}"
LEGACY_TTMPCL-001_13,TTMPCL-001,13,"{'message': 'there is no unique or exclusion constraint matching the ON CONFLICT specification', 'code': '42P10', 'hint': None, 'details': None}"
LEGACY_TTMPCL-002_01,TTMPCL-002,1,"{'message': 'there is no unique or exclusion constraint matching the ON CONFLICT specification', 'code': '42P10', 'hint': None, 'details': None}"
LEGACY_TTMPCL-002_02,TTMPCL-002,2,"{'message': 'there is no unique or exclusion constraint matching the ON CONFLICT specification', 'code': '42P10', 'hint': None, 'details': None}"
LEGACY_TTMPCL-002_03,TTMPCL-002,3,"{'message': 'there is no unique or exclusion constraint matching the ON CONFLICT specification', 'code': '42P10', 'hint': None, 'details': None}"
LEGACY_TTMPCL-002_04,TTMPCL-002,4,"{'message': 'there is no unique or exclusion constraint matching the ON CONFLICT specification', 'code': '42P10', 'hint': None, 'details': None}"
LEGACY_TTMPCL-002_05,TTMPCL-002,5,"{'message': 'there is no unique or exclusion constraint matching the ON CONFLICT specification', 'code': '42P10', 'hint': None, 'details': None}"
LEGACY_TTMPCL-002_06,TTMPCL-002,6,"{'message': 'there is no unique or exclusion constraint matching the ON CONFLICT specification', 'code': '42P10', 'hint': None, 'details': None}"
LEGACY_TTMPCL-002_07,TTMPCL-002,7,"{'message': 'there is no unique or exclusion constraint matching the ON CONFLICT specification', 'code': '42P10', 'hint': None, 'details': None}"
LEGACY_TTMPCL-002_08,TTMPCL-002,8,"{'message': 'there is no unique or exclusion constraint matching the ON CONFLICT specification', 'code': '42P10', 'hint': None, 'details': None}"
LEGACY_TTMPCL-002_09,TTMPCL-002,9,"{'message': 'there is no unique or exclusion constraint matching the ON CONFLICT specification', 'code': '42P10', 'hint': None, 'details': None}"
LEGACY_TTMPCL-002_10,TTMPCL-002,10,"{'message': 'there is no unique or exclusion constraint matching the ON CONFLICT specification', 'code': '42P10', 'hint': None, 'details': None}"
LEGACY_TTMPCL-002_11,TTMPCL-002,11,"{'message': 'there is no unique or exclusion constraint matching the ON CONFLICT specification', 'code': '42P10', 'hint': None, 'details': None}"
LEGACY_TTMPCL-003_01,TTMPCL-003,1,"{'message': 'there is no unique or exclusion constraint matching the ON CONFLICT specification', 'code': '42P10', 'hint': None, 'details': None}"
LEGACY_TTMPCL-003_02,TTMPCL-003,2,"{'message': 'there is no unique or exclusion constraint matching the ON CONFLICT specification', 'code': '42P10', 'hint': None, 'details': None}"
LEGACY_TTMPCL-003_03,TTMPCL-003,3,"{'message': 'there is no unique or exclusion constraint matching the ON CONFLICT specification', 'code': '42P10', 'hint': None, 'details': None}"
LEGACY_TTMPCL-003_04,TTMPCL-003,4,"{'message': 'there is no unique or exclusion constraint matching the ON CONFLICT specification', 'code': '42P10', 'hint': None, 'details': None}"
LEGACY_TTMPCL-003_05,TTMPCL-003,5,"{'message': 'there is no unique or exclusion constraint matching the ON CONFLICT specification', 'code': '42P10', 'hint': None, 'details': None}"
LEGACY_TTMPCL-003_06,TTMPCL-003,6,"{'message': 'there is no unique or exclusion constraint matching the ON CONFLICT specification', 'code': '42P10', 'hint': None, 'details': None}"
LEGACY_TTMPCL-003_07,TTMPCL-003,7,"{'message': 'there is no unique or exclusion constraint matching the ON CONFLICT specification', 'code': '42P10', 'hint': None, 'details': None}"
LEGACY_TTMPCL-003_08,TTMPCL-003,8,"{'message': 'there is no unique or exclusion constraint matching the ON CONFLICT specification', 'code': '42P10', 'hint': None, 'details': None}"
