LoanID,MasterUUID_of_member,ApplicationDate,first_payment_date,payment_count,notes
8761135c-5ee8-463f-9ceb-9c823d69ef31,,2019-07-02,2019-07-02,79,Please add to Master_Analytical_Matrix.csv or mark as excluded
6f1bd2fa-ad54-458e-8bc5-06150e5259ee,,2020-03-10,2020-03-10,37,Please add to Master_Analytical_Matrix.csv or mark as excluded
bd365a08-744a-409d-9e34-37c80fff88a5,,2023-05-27,2023-05-27,31,Please add to Master_Analytical_Matrix.csv or mark as excluded
b8681cc2-253c-42ca-9a75-a4ffc6470079,,2021-08-25,2021-08-25,26,Please add to Master_Analytical_Matrix.csv or mark as excluded
af0d9251-cf71-45c6-a92d-4462b5ed7aa3,,2023-09-16,2023-09-16,26,Please add to Master_Analytical_Matrix.csv or mark as excluded
bd1ef4a0-995e-429f-b220-7ae3047c2114,,2022-08-03,2022-08-03,25,Please add to Master_Analytical_Matrix.csv or mark as excluded
0ef481fa-8738-4d04-a7a3-d1c41a47db4c,,2021-10-26,2021-10-26,25,Please add to Master_Analytical_Matrix.csv or mark as excluded
0b867548-902e-4344-8167-29c7d038b22d,,2024-04-06,2024-04-06,22,Please add to Master_Analytical_Matrix.csv or mark as excluded
347a3df9-d2fc-4766-a776-4c27903b1d31,,2024-03-27,2024-03-27,21,Please add to Master_Analytical_Matrix.csv or mark as excluded
e69799ec-4a5d-49fb-8c4f-7cad3773a82f,,2023-01-25,2023-01-25,20,Please add to Master_Analytical_Matrix.csv or mark as excluded
15a37613-cefb-42db-b0b6-afd4b6f503a4,,2018-07-12,2018-07-12,19,Please add to Master_Analytical_Matrix.csv or mark as excluded
1db78808-600a-4a73-b99e-526a978e00ce,,2019-06-19,2019-06-19,18,Please add to Master_Analytical_Matrix.csv or mark as excluded
524c6a2c-a048-4ea2-b1bf-093ce713d865,,2024-08-16,2024-08-16,17,Please add to Master_Analytical_Matrix.csv or mark as excluded
74f8c042-4e6e-4170-8c19-1677c4a6c9f4,,2023-11-14,2023-11-14,16,Please add to Master_Analytical_Matrix.csv or mark as excluded
8d4590b3-e19f-4c2b-8ae9-a0d7aa7400e7,,2023-03-03,2023-03-03,16,Please add to Master_Analytical_Matrix.csv or mark as excluded
cdce8080-4d38-44a9-9d4d-8be54661eb38,,2022-12-16,2022-12-16,16,Please add to Master_Analytical_Matrix.csv or mark as excluded
1aae6913-e2d6-442c-8240-7c4408f00097,,2024-03-13,2024-03-13,15,Please add to Master_Analytical_Matrix.csv or mark as excluded
b331551b-9ed7-4983-83a5-933d5a209535,,2023-08-18,2023-08-18,14,Please add to Master_Analytical_Matrix.csv or mark as excluded
978596fe-e449-4271-95dc-89be6b04aca9,,2024-08-14,2024-08-14,14,Please add to Master_Analytical_Matrix.csv or mark as excluded
99be5aeb-074b-497a-b866-4e3fd217fc62,,2023-12-13,2023-12-13,13,Please add to Master_Analytical_Matrix.csv or mark as excluded
1fd8fdd1-4f43-45cc-9695-0fd66a737273,,2023-05-09,2023-05-09,13,Please add to Master_Analytical_Matrix.csv or mark as excluded
8ec4cef3-6283-4f2d-9b2e-b40419f56943,,2025-03-05,2025-03-05,13,Please add to Master_Analytical_Matrix.csv or mark as excluded
96042b16-117d-441b-93a7-a4cb9b4025c7,,2022-03-23,2022-03-23,13,Please add to Master_Analytical_Matrix.csv or mark as excluded
c6038949-6f89-4ec6-ad21-e7fa4ffd7815,,2023-03-07,2023-03-07,13,Please add to Master_Analytical_Matrix.csv or mark as excluded
dbae06d5-4ef2-4bae-8c09-0520a7264a35,,2018-06-22,2018-06-22,13,Please add to Master_Analytical_Matrix.csv or mark as excluded
e1a053af-f556-4c71-bbd0-02771ef366a8,,2025-01-10,2025-01-10,13,Please add to Master_Analytical_Matrix.csv or mark as excluded
23d64909-1f6c-4260-a81c-53221908c59f,,2023-12-29,2023-12-29,13,Please add to Master_Analytical_Matrix.csv or mark as excluded
a00c70bb-3ec4-4214-96e1-35422c67d766,,2023-05-16,2023-05-16,13,Please add to Master_Analytical_Matrix.csv or mark as excluded
03772889-aaea-4659-99f6-b906d37c8841,,2022-05-12,2022-05-12,13,Please add to Master_Analytical_Matrix.csv or mark as excluded
e0d113c2-68c2-49ea-a0c7-49d87697cc6a,,2024-01-27,2024-01-27,13,Please add to Master_Analytical_Matrix.csv or mark as excluded
48cde07b-ff4f-483a-9702-bbbb7dc697c0,,2023-07-22,2023-07-22,13,Please add to Master_Analytical_Matrix.csv or mark as excluded
dd9dd662-b9ff-430f-b68c-000ff9b6ed79,,2024-01-10,2024-01-10,13,Please add to Master_Analytical_Matrix.csv or mark as excluded
c863f8a8-877b-4ae0-9553-635e4f872705,,2022-08-11,2022-08-11,12,Please add to Master_Analytical_Matrix.csv or mark as excluded
d884af2f-b00e-4888-96f8-e7913108960e,,2023-10-24,2023-10-24,12,Please add to Master_Analytical_Matrix.csv or mark as excluded
a4d63ba4-3068-435f-8aab-958579c0cc16,,2025-02-13,2025-02-13,12,Please add to Master_Analytical_Matrix.csv or mark as excluded
669e1513-c68c-4483-940a-e8d218952f49,,2024-02-28,2024-02-28,12,Please add to Master_Analytical_Matrix.csv or mark as excluded
861316e9-f6a4-4d6e-b1be-0fa89cb8c41d,,2019-04-16,2019-04-16,12,Please add to Master_Analytical_Matrix.csv or mark as excluded
564ffc83-7145-4594-9b22-3c5fb9bf207d,,2022-08-13,2022-08-13,12,Please add to Master_Analytical_Matrix.csv or mark as excluded
a4cec608-286e-4a4f-b8c0-e417de212a38,,2023-02-08,2023-02-08,12,Please add to Master_Analytical_Matrix.csv or mark as excluded
15f505c7-2933-40e1-9548-95d02def2a2a,,2022-09-24,2022-09-24,12,Please add to Master_Analytical_Matrix.csv or mark as excluded
9ead7d7c-0ade-442e-9f82-3eb2270c91a4,,2023-07-22,2023-07-22,12,Please add to Master_Analytical_Matrix.csv or mark as excluded
f7d52770-d7d1-4096-a122-c049c21e1092,,2023-12-15,2023-12-15,11,Please add to Master_Analytical_Matrix.csv or mark as excluded
a5b683d3-d861-45a9-a30d-eb45b4bf6fde,,2023-08-16,2023-08-16,11,Please add to Master_Analytical_Matrix.csv or mark as excluded
5e960f33-791b-4ce6-a478-f3c564d32b77,,2023-10-07,2023-10-07,11,Please add to Master_Analytical_Matrix.csv or mark as excluded
f92c4176-21ca-45ee-a095-f9e75773cae5,,2024-07-06,2024-07-30,11,Please add to Master_Analytical_Matrix.csv or mark as excluded
a27f2593-32f9-49df-83ce-414b2d37d0ed,,2023-06-27,2023-06-27,11,Please add to Master_Analytical_Matrix.csv or mark as excluded
