csv_row,member_id,ttmpc_id,annual_income,income_source,status,dependent_count
2,73dedcbc-e1b8-42aa-90ae-ff8618428deb,TTMPC-272,,Salary,Active,4
3,e074308d-58eb-4d7a-9297-28d71003f6cf,TTMPC-002,"295,044",Salary,Active,4
4,d6591e17-bd74-4423-acdd-dfa01b0ff241,TTMPC-003,,Salary,Active,5
5,a6716916-a6a0-4b2d-93db-4d3b93f20dba,TTMPC-004,"376,212",Salary,Active,4
6,68a8e641-42a8-4a55-b0ef-efd5c64b303c,TTMPC-005,,Salary,Active,4
7,67afa221-aef5-44ca-9d0b-2c34378e8c20,TTMPC-006,"259,440",Salary,Active,4
8,31019eea-4134-4a45-a617-09e670878710,TTMPC-007,,Salary,Active,4
9,34289d7d-5ddc-4f0d-8dfd-e1aa76647da8,TTMPC-008,,Salary,Active,4
10,96f4a99f-761f-43b1-8d24-7e2e299f55cb,TTMPC-009,,,Active,4
11,b1a92806-3d6b-46fc-b098-a82e1611b8bc,TTMPC-273,"186,000",Salary,Active,0
12,2f882ec1-43b6-44a3-852a-d15f254dbe96,TTMPC-011,,Salary,Active,2
13,04e3170b-bdb5-48f5-b2ca-bee2f52df47d,TTMPC-012,,Salary,Active,4
14,6bdce4c8-fb3f-459a-874f-22352a3355fa,TTMPC-013,"239,346.76",Salary,Active,4
15,57726405-fa55-4b8d-adeb-0131fb3572a2,TTMPC-014,"250,000",Salary,Active,4
16,9ba0ccfa-22b3-46fa-9823-f9446894662c,TTMPC-015,"200,000",Salary,Active,4
17,62d3afb2-4813-4cc0-bae1-be2393023f45,TTMPC-016,"244,544.68",Salary,Active,4
18,318ac988-f981-4c76-98d9-5d68bfa2443a,TTMPC-017,"250,000",Salary,Active,4
19,cbdfc337-4d34-46cb-b0d5-bb8768904e61,TTMPC-018,,Salary,Active,4
20,337d8f49-bd88-4ea0-95c2-8fa7d7faeffb,TTMPC-019,"193,212",Salary,Active,4
21,91ceef6c-3721-4e3e-a335-29df9c66d78d,TTMPC-020,,Salary,Active,0
22,211cb540-68c7-4d2a-8586-279b8b883f69,TTMPC-021,,Salary,Active,4
23,e52ba3de-f2c5-4af2-86ac-8c3b7c96e857,TTMPC-022,"334,704",Salary,Active,4
24,6594b0fe-07b3-4e51-80a6-2b37286b618b,TTMPC-023,"195,968.40",,Active,4
25,d9e907ee-28aa-4561-8234-6f6a2fa1cfc5,TTMPC-024,"228,000",Salary,Active,3
26,2dca787e-936a-41e7-9bc9-3684e67fd27a,TTMPC-274,,Salary,Active,4
27,4de4748f-a5cb-402a-9886-f0e71a7d3d90,TTMPC-284,"305,268",Salary,Active,4
28,34eca428-1dc8-4f7c-89a7-33a89ea29809,TTMPC-027,,Salary,Active,4
29,d3873f14-d324-49a4-b085-1f07b4e505a0,TTMPC-028,"120,800",Monthly Pension,Active,4
30,865bf35c-1192-4431-b78f-6cbefc2bc5f5,TTMPC-275,"222,588",Salary,Active,4
31,0acf501e-74cd-491a-a8ad-958bd9727441,TTMPC-030,"235,440",Salary,Active,2
32,b5601f66-39c9-40ff-8ef8-03906fdabd88,TTMPC-031,,,Active,4
33,5b0e5f52-e1fd-4333-9a3c-03dd62fc3e5b,TTMPC-276,,Salary,Active,0
34,bd104645-28b4-458a-a633-53b94f1e7769,TTMPC-033,,Salary,Active,5
35,c8249ac1-ba06-45ed-9931-5480b0839789,TTMPC-034,,Salary,Active,4
36,cee4a173-7d17-4aae-9648-e6c69e3da46f,TTMPC-035,,,Active,0
37,b1eb6c96-adb7-4270-a126-70424332a564,TTMPC-036,,,Active,4
38,eb9ed3f4-a9b3-49ba-b9a1-7a168c7a8f15,TTMPC-037,"221,333.92",Salary,Active,4
39,7c6aa1e7-6e6a-4fbe-bbd4-68c8d06e65e5,TTMPC-038,,Salary,Active,4
40,d4d7cd4f-6c0c-4ca4-9d0a-d0751ce950a5,TTMPC-039,"279,084",Salary,Active,4
41,49c35d59-cad4-4ed5-91f1-5c892046d56c,TTMPC-040,,,Active,4
42,cdfae075-1b79-4d58-8661-7ab3a78d4e9f,TTMPC-041,"160,000",Salary,Active,4
43,73e4da6b-936a-4e09-9fc7-54d3497636c3,TTMPC-042,,,Active,0
44,07eca900-2e72-4a88-8d37-b39de8931a05,TTMPC-043,"235,440",Salary,Active,3
